Car,Manufacturer,Make,Model,Production_Year,Status,Car_Class,Film,Film Order,Role
2002 Nissan Fairlady Z (Z33),Nissan,Nissan,350Z,2002,Discontinued,Coupe,The Fast and the Furious: Tokyo Drift,FF3,Minor
2002 Nissan Skyline GT-R R34,Nissan Motor Company,Nissan,Skyline R34 GT-R,2002,Discontinued,2-door coupe,Fast & Furious,FF4,Major
2003 Acura NSX,Honda,Acura,NSX,2003,Discontinued,Sports,"Fast & Furious, Fast Five","FF4, FF5",Major
2003 Mitsubishi Eclipse Spyder,Mitsubishi Motors,Mitsubishi,N/A,N/A,N/A,N/A,N/A,,N/A
2003 Mitsubishi Eclipse Spyder GTS,Mitsubishi Motors Corporation,Mitsubishi,Eclipse Spyder GTS,2003[1][2],Discontinued,Sports compact,2 Fast 2 Furious,FF2,Major
2003 Saleen S281-E Mustang,Ford,Ford,Mustang Saleen S281,2003,Discontinued,Muscle,2 Fast 2 Furious,FF2,Minor
2004 Aston Martin DB9,Aston Martin,Aston Martin,DB9,2004,Discontinued,2+2 seat 2-door coupé2-door convertible,Fast & Furious 6,FF6,Minor
2004 Mazda RX-8,Mazda,Mazda,RX-8,2004,Discontinued,Sport,The Fast and the Furious: Tokyo Drift,FF3,Minor
2005 Aston Martin DB9,Aston Martin,Aston Martin,DB9,2005,Discontinued,2+2 seat 2-door coupé2-door convertible,Furious 7,FF7,Minor
2005 Volkswagen Touran,Volkswagen,Volkswagen,Touran,2005,In Production,Compact Car,The Fast and the Furious: Tokyo Drift,FF3,Minor
2006 Dodge Charger LX (PPV),Fiat Chrysler Automobiles,Dodge,Charger,2006,Discontinued,Muscle,Fast Five,FF5,Minor
2006 Dodge Viper SRT-10,Chrysler,Dodge,Viper,2003,Discontinued,Convertible,The Fast and the Furious: Tokyo Drift,FF3,Minor
2006 Mitsubishi Lancer Evolution IX,Mitsubishi,Mitsubishi,Lancer Evolution IX,2006,Discontinued,Compact Car,The Fast and the Furious: Tokyo Drift,FF3,Major
2007 Porsche Cayman,Porsche,Porsche,Cayman S,2007,In Production,Sports Car,Fast & Furious,FF4,Minor
2008 Ford Mustang GT Tjaarda 550R,Ford,Ford,Mustang GT Tjaarda 550R,2008,In Production,Muscle,Fast & Furious,FF4,Minor
2009 Nissan 370Z,Nissan,Nissan,370Z,2009,Discontinued,Sports car,Fast Five,FF5,Minor
2009 Nissan GT-R R35,Nissan Motor Company,Nissan,Nissan GT-R R35,2007 (film)[1]2009[2],In Production,2-door 2+2 coupé,Fast & Furious,FF4,Minor
2009 Subaru Impreza WRX STi GH,Fuji Heavy Industries,Subaru,Impreza WRX STi,2009,Discontinued,Compact Car,Fast & Furious,FF4,Major
2010 Dodge Charger SRT-8,Dodge,Dodge,Charger SRT-8,2010,In Production,Muscle,Fast Five,FF5,Major
2010 Koenigsegg CCXR,Koenigsegg,Koenigsegg,CCXR,2010,Discontinued,Super car,Fast Five,FF5,Minor
2010 Nissan GT-R R35,Nissan Motor Company,Nissan,GT-R R35,2010[1],In Production,2-door 2+2 coupé,Fast Five,FF5,Minor
2011 Bugatti Veyron,Bugatti Automobiles S.A.S.,Bugatti,Veyron,2005–2011,Discontinued,Super car,Furious 7,FF7,Minor
2011 Dodge Challenger SRT,Fiat Chrysler Automobiles,Dodge,Challenger SRT,Active,In Production,Letty Ortiz,Furious 7,FF7,Major
2011 Dodge Charger PPV,Dodge (Chrysler),Dodge,Charger LX,2011,In Production,Muscle car,Fast Five,FF5,Major
2011 Lexus LFA,Lexus,Lexus,LFA,2011,Discontinued,Sports car,Fast Five,FF5,Minor
