,Car,Manufacturer,Make,Model,Production_Year,Status,Car_Class
66,2011 Nissan GT-R R35,Nissan Motor Company,Nissan,Nissan GT-R R35,2011[1],In production,2-door 2+2 coupé
67,2011 STC Delta Didgori-2,STC Delta,STC Delta,Didgori-2,2011,Current,SUV
68,2011 Subaru Impreza WRX STI,Subaru,Impreza WRX STI,2007-2014,Discontinued,Compact car,4-door sedan
69,2012 Dodge Charger SRT-8,Dodge,Destroyed (Dominic Toretto's)Survived (Han Seoul-Oh's),Muscle,4 door sedan,Rear bumper reinforcement,Sparco racing seats
70,2012 Nissan GT-R R35,Nissan Motor Company,Nissan,Nissan GT-R R35,2012[1],In production,2-door 2+2 coupé
71,2012 Nissan GT-R R35 Bensopra,Nissan Motor Company,Nissan,Nissan GT-R R35,2012[1],In production,2-door 2+2 coupé
72,2012 Subaru Impreza WRX STi GH,Fuji Heavy Industries,Subaru,Impreza WRX STi GH,2012[1],In Production,4-door sedan
73,2014 Chevrolet Suburban LT,Chevrolet/GMC (General Motors),Chevrolet,Suburban (LT Trim),2007-2014,Extended Length SUV,4-door SUV
74,2014 Dodge Charger SRT-8,"Dodge (Fiat Chrysler Automobiles, previously Chrysler)",Dodge,Charger SRT-8,2011-present,In production,Full-size
75,2014 Maserati Ghibli,Maserati,Ghibli,2014,Destroyed,Sport,Sedan
76,2015 Ford Mustang GT350,Ford Motor Cars,Ford,Mustang,2015,Current,Muscle
77,2019 Jaguar XE,Jaguar Land Rover,Jaguar,XE SV Project 8,2019,Current,Sports
78,2020 Jeep Gladiator,Fiat Chrysler Automobiles,Jeep,Gladiator,Current,SUV,Gray
79,Acura Integra,Honda,Acura,Integra,1986-2001,Discontinued,Sports
80,Astana Hotto,Layla Gray,Spy Racing,Active,Fast & Furious: Spy Racers,N/A,N/A
81,BMW 323is (E36),BMW,E36,323iS,1990-2000,Discontinued,Euro-Exotic
82,Chevrolet Camaro,"Chevrolet, General Motors",Chevrolet Camaro,"Yenko Camaro SYC,RS-Z28 F-bombSS",In production,In production,"Korpi,Brian O'Conner (2 Fast 2 Furious),Dominic Toretto (Fast & Furious)Tej Parker (Fast & Furious 6)Roman Pearce (Furious 7)"
83,Chevrolet Monte Carlo,Chevrolet,Monte Carlo,Roman PearceSean Boswell,Demolition Derby (Roman)General driving; racing (Sean),Damaged (2 Fast 2 Furious)Destoryed (Tokyo Drift),2 Fast 2 FuriousThe Fast and the Furious: Tokyo Drift
84,Chevrolet Monte Carlo Stock Car,Chevrolet,Monte Carlo,1995-1999,Stock Car,"90° pushrod V-8358 cubic inches (5,870 cc)",Black
85,Chrysler Town & Country,Chrysler,Chrysler,Town & Country,2007-2016,Discontinued,Minivan
86,Dodge Challenger,N/A,N/A,N/A,N/A,N/A,N/A
87,Dodge Charger,Chrysler,Dodge,"Dodge Charger B-Body LX, LD","1968, 1969, 2006, 2010, 2011",In Production,Dominic Toretto
88,Dodge Charger Daytona,Dodge (Chrysler),Dodge,Charger Daytona,1969,Discontinued,Muscle car
89,Dodge Ram,DodgeRam Trucks,Dodge Ram,Pickup Truck,Unknown (2 Fast 2 Furious)Reyes Men(Fast Five)Luke Hobbs(The Fate of the Furious),Ramming Police Cars,2 Fast 2 FuriousFast FiveThe Fate of the Furious
90,Dodge Stealth,Mitsubishi Motors,Chrysler (importer),Dodge Stealth[note 1],1991[1],Discontinued,Sports cargrand tourer
91,Dodge Viper SRT-10,2003,Dodge,Viper,Discontinued,Convertible,YellowRedBlack
92,Eagle Speedster,Eagle (recreation)Jaguar (base),Eagle,Speedster,By order only,Black,Tej Parker (owner)
93,Fast & Furious 6 Cars,N/A,N/A,N/A,N/A,N/A,N/A
94,Fast & Furious Cars,N/A,N/A,N/A,N/A,N/A,N/A
95,Fast Attack Vehicle,N/A,N/A,N/A,N/A,N/A,N/A
96,Fast Five Cars,N/A,N/A,N/A,N/A,N/A,N/A
97,Ferrari 360 Spider,360 Spider,1999–2005,Sports Car,2-door berlinetta2-door spider,"3.6 L (3,586 cc) Tipo F131 V8","2,600 mm (102 in)"
98,Ferrari F355 Spider,Ferrari SPA,Ferrari,F355 Spider,1995-1999,Discontinued,Semi-Retro Exotic
99,Ferrari FXX,N/A,N/A,N/A,N/A,N/A,N/A
100,2015 Subaru WRX STi,Fuji Heavy Industries,Subaru,WRX STI,2015,In Production,4-door sedan
101,Flip Car,Custom-Built Sports Car,Flip Car,Owen ShawVegh,TheftEvasion,Destroyed (Shaw)Totaled (Vegh),Fast & Furious 6
102,Ford Crown Victoria,Ford,Crown Victoria,4QSR615 (TFaTF),Sergeant Tanner Muse Brian O'Conner Dunn Markham,The Fast and the Furious 2 Fast 2 Furious,Chevrolet Caprice
103,Ford Escort MK I,Ford Motorworks,Ford,Escort MK I RS1600,1968-1978,Discountinued,Sports/Rally car
104,Ford F-150 SVT Lightning,Ford Motor Company,Ford,F-150 SVT Lightning,Brian O'Conner,The Racer's Edge work truck Getting to and from work Hauling parts for Brian's Toyota Supra,Survived
105,Ford GT40,Ford,GT40,Unknown,4181 cc (255 CID) V-84737 cc (289 CID) V-86997 cc (427 CID) V-84942 cc (302 CID) V-8,9.75 - 15 (F); 12.8 - 15 (R) 325,Fast Five
106,Ford Maverick,Ford,Maverick,Discontinued,4KBR-707,Han Seoul-Oh,Standard driving Following Reyes' men
107,Ford Mustang,Ford,Ford Mustang,Mustang Fastback (Tokyo Drift & Fast & Furious 6),In production,Pony car,Sean Boswell (Tokyo Drift)Roman Pearce (Fast & Furious 6)Jakob Toretto
108,Ford RS200,Ford,RS200,Unknown,Racing,Possibly Survived,Fast & Furious
109,Furious 7 Cars,N/A,N/A,N/A,N/A,N/A,N/A
110,Honda Civic,Honda,Honda,Honda Civic,In Production,Compact Car,Dominic Toretto Letty Ortiz Leon Vince (presumably) Jesse (presumably) Hector Danny
111,Honda S2000,Honda,S2000,Discontinued,Johnny TranSuki,Racing (both),Active (Johnny Tran) Active (Suki)
112,Hyperfin,Echo,Spy Racing,Active,Fast & Furious: Spy Racers,N/A,N/A
113,Images of cars,N/A,N/A,N/A,N/A,N/A,N/A
114,Ion Motors Thresher,Tony Toretto,Spy Racing,Active,Fast & Furious: Spy Racers,N/A,N/A
115,Jensen Interceptor,Carrozzeria Touring,Jensen,Interceptor,1971[1],Discontinued,Luxury carGrand Tourer
116,List of Cars in The Fast and the Furious (series),N/A,N/A,N/A,N/A,N/A,N/A
117,Lykan HyperSport,W Motors,Lykan HyperSport,Hypercar,3.7 litre twin-turbo Flat-six,"Lightweight forged aluminium 8.5x19"" front, 12.5x20"" rear",255/35 ZR 19 front  335/30 ZR 20 rear
118,Mazda RX-7,Mazda,1993[1][2]1997[3],Discontinued,Sports car,Dominic Toretto[2]Orange Julius[4]Han Seoul-Oh[5],Street Racing
119,Mazda RX-8,Mazda,RX-8,Discontinued,"Renesis 1.3-liter 13B rotary with GReddy turbo kit and engine management system, Tanabe exhaust system","VeilSide D1-GT body kit, VeilSide carbon fiber GT wing, carbon fiber painted cowl hood,",Takata seat belts and Nardi steering wheel
120,Mitsubishi Eclipse,Mitsubishi Motors,Mitsubishi,Mitsubishi EclipseEclipse Spyder,Discontinued,Sport compact,Brian O'ConnerThe GirlRoman Pearce
121,Mitsubishi Lancer Evolution,Mitsubishi Motors,Mitsubishi,Mitsubishi Lancer Evolution,Discontinued,Sport compact,Brian O'ConnerSean Boswell
122,Muscle cars,N/A,N/A,N/A,N/A,N/A,N/A
123,Nissan 240SX,N/A,N/A,N/A,N/A,N/A,N/A
124,Nissan Fairlady Z (Z33),Nissan,Fairlady Z33 (350Z),Discontinued,VQ35DE (3.5-liter DOHC 24-valve V6) with APS stainless headers and turbo exhaust; Magnaflow performance mufflers (Takashi's) VQ35DE (3.5-liter DOHC 24-valve V6) (Morimoto's and Tea-Hair's),"VeilSide Version 3 wide body kit, carbon fiber hood, rear wing; Speedway Engineering hood pins and Ganador carbon fiber mirrors (Takashi's) Top Secret wide body kit, hood, and rear wing; Speedway Engineering hood pins (Morimoto's) Top Secret body kit and GT rear wing; Top Secret carbon fiber painted hood; Speedway Engineering hood pins (Tea-Hair's)","Nitrous Oxide Systems polished bottle, Sanyou model ECD T178DV sound system; Sparco EVO L black racing seats, seats belts, and steering wheel; Safety 21 roll cage (Takashi's) Nitrous Oxide Systems polished bottle, Recaro black and glod seats; Takata MPH-340R seat belts; Sparco steering wheel (Morimoto's) Nitrous Oxide Systems blue bottle, Takata seat belts; Sparco blue steering wheel (Tea-Hair's)"
125,Nissan GT-R,Nissan Motor Company,Nissan,GT-R (R35),In Production,Brian O'Conner,Standard driving Racing
126,Nissan Silvia S15,Nissan,Nissan Silva,S15,1999-2002,Discontinued,Sports car
127,Nissan Silvia S15 Spec-R,Nissan Motor Company,Nissan,Nissan Silvia S15 Spec-R,Discontinued,2-door coupeSports car,"Omiya(大宮) 300, Me(め), 81-86"
128,Nissan Skyline GT-R,Prince Motor Company Nissan Motor Company,Nissan Skyline GT-R,1971-2002,Discontinued,"2-door coupe,Grand tourer",LeonBrian O'Conner
129,Pickup trucks,N/A,N/A,N/A,N/A,N/A,N/A
