Car,Sale Date,Sale Amount,Currency unit,Sold Location,Source
1967 Ford Mustang Fastback,04/13/2014,35200,USD,USA,barrettjackson.com
1967 Ford Mustang Fastback,04/17/2015,50600,USD,USA,barrettjackson.com
1969 Chevrolet Yenko Camaro,01/16/2021,308000,USD,USA,mecum.com
1969 Chevrolet Yenko Camaro,01/15/2021,308000,USD,USA,mecum.com
1969 Chevrolet Yenko Camaro,03/13/2020,173250,USD,USA,mecum.com
1969 Chevrolet Yenko Camaro,01/10/2020,165000,USD,USA,mecum.com
1969 Chevrolet Yenko Camaro,08/03/2019,258500,USD,USA,mecum.com
1969 Chevrolet Yenko Camaro,03/15/2019,231000,USD,USA,mecum.com
1969 Chevrolet Yenko Camaro,01/11/2019,220000,USD,USA,mecum.com
1969 Chevrolet Yenko Camaro,10/27/2018,192500,USD,USA,mecum.com
1969 Chevrolet Yenko Camaro,08/23/2018,165000,USD,USA,worldwideauctioneers.com
1969 Chevrolet Yenko Camaro,04/07/2018,99000,USD,USA,mecum.com
1969 Chevrolet Yenko Camaro,09/09/2017,175000,USD,USA,mecum.com
1969 Chevrolet Yenko Camaro,05/19/2017,330000,USD,USA,mecum.com
1969 Chevrolet Yenko Camaro,05/19/2017,212500,USD,USA,mecum.com
1969 Chevrolet Yenko Camaro,08/19/2016,280000,USD,USA,mecum.com
1969 Chevrolet Yenko Camaro,05/21/2016,260000,USD,USA,mecum.com
1969 Chevrolet Yenko Camaro,05/21/2016,225000,USD,USA,mecum.com
1969 Chevrolet Yenko Camaro,06/30/2016,330000,USD,USA,barrettjackson.com
1969 Chevrolet Yenko Camaro,01/22/2016,330000,USD,USA,mecum.com
1969 Chevrolet Yenko Camaro,01/22/2016,225000,USD,USA,mecum.com
1969 Chevrolet Yenko Camaro,01/22/2016,300000,USD,USA,mecum.com
1969 Chevrolet Yenko Camaro,04/24/2015,209000,USD,USA,worldwideauctioneers.com
1969 Chevrolet Yenko Camaro,01/17/2015,264000,USD,USA,barrettjackson.com
1969 Chevrolet Yenko Camaro,09/06/2014,285000,USD,USA,mecum.com
1969 Chevrolet Yenko Camaro,01/25/2014,235000,USD,USA,mecum.com
1969 Dodge Charger Daytona,05/26/2021,245000,USD,USA,rmsothebys.com
1969 Dodge Charger Daytona,03/27/2021,236500,USD,USA,barrettjackson.com
1969 Dodge Charger Daytona,01/17/2018,198000,USD,USA,russoandsteele.com
1969 Dodge Charger Daytona,01/27/2016,159500,USD,USA,russoandsteele.com
1969 Ford Mustang Fastback,07/30/2022,100000,USD,USA,mecum.com
1969 Ford Mustang Fastback,08/19/2011,19000,USD,USA,mecum.com
1969 Ford Mustang Fastback,01/08/2020,41800,USD,USA,mecum.com
1969 Ford Mustang Fastback,04/13/2018,84700,USD,USA,barrettjackson.com
1969 Ford Mustang Fastback,12/03/2016,67000,USD,USA,mecum.com
1969 Ford Mustang Fastback,01/15/2015,40700,USD,USA,barrettjackson.com
1970 Dodge Charger R/T,07/15/2022,67500,USD,USA,bringatrailer.com
1970 Dodge Charger R/T,06/30/2022,85800,USD,USA,barrettjackson.com
1970 Dodge Charger R/T,05/02/2022,104000,USD,USA,gatewayclassiccars.com
1970 Dodge Charger R/T,04/09/2022,119900,USD,USA,barrettjackson.com
1970 Dodge Charger R/T,01/29/2022,132000,USD,USA,barrettjackson.com
1970 Dodge Charger R/T,09/04/2021,89600,USD,USA,worldwideauctioneers.com
1970 Dodge Charger R/T,09/04/2021,62150,USD,USA,rmsothebys.com
1970 Dodge Charger R/T,07/31/2021,82500,USD,USA,mecum.com
1970 Dodge Charger R/T,06/19/2021,72600,USD,USA,barrettjackson.com
1970 Dodge Charger R/T,05/22/2021,352000,USD,USA,mecum.com
1970 Dodge Charger R/T,03/26/2021,74800,USD,USA,barrettjackson.com
1970 Dodge Charger R/T,10/01/2020,65000,USD,USA,bringatrailer.com
1970 Dodge Charger R/T,04/01/2020,117500,USD,USA,bringatrailer.com
1970 Dodge Charger R/T,03/31/2020,75000,USD,USA,hemmings.com
1970 Dodge Charger R/T,01/10/2020,88000,USD,USA,mecum.com
1970 Dodge Charger R/T,01/09/2020,88000,USD,USA,mecum.com
1970 Dodge Charger R/T,10/26/2019,45100,USD,USA,mecum.com
1970 Dodge Charger R/T,10/12/2019,84700,USD,USA,mecum.com
1970 Dodge Charger R/T,10/05/2019,137000,USD,USA,barrettjackson.com
1970 Dodge Charger R/T,10/04/2019,47300,USD,USA,barrettjackson.com
1970 Dodge Charger R/T,09/06/2019,92400,USD,USA,barrettjackson.com
1970 Dodge Charger R/T,03/09/2019,72500,USD,USA,gaaclassiccars.com
1970 Dodge Charger R/T,01/18/2019,132000,USD,USA,barrettjackson.com
1970 Dodge Charger R/T,01/20/2019,84700,USD,USA,barrettjackson.com
1970 Dodge Charger R/T,01/17/2019,94600,USD,USA,barrettjackson.com
1970 Dodge Charger R/T,10/04/2018,40700,USD,USA,mecum.com
1970 Dodge Charger R/T,06/23/2018,154000,USD,USA,barrettjackson.com
1970 Dodge Charger R/T,05/18/2018,66000,USD,USA,mecum.com
1970 Dodge Charger R/T,05/18/2018,89100,USD,USA,mecum.com
1970 Dodge Charger R/T,04/13/2018,63800,USD,USA,barrettjackson.com
1970 Dodge Charger R/T,01/19/2018,143000,USD,USA,barrettjackson.com
1970 Dodge Charger R/T,01/13/2018,82500,USD,USA,mecum.com
1970 Dodge Charger R/T,01/13/2018,104500,USD,USA,mecum.com
1970 Dodge Charger R/T,01/11/2018,47300,USD,USA,mecum.com
1970 Dodge Charger R/T,01/06/2018,75900,USD,USA,mecum.com
1970 Dodge Charger R/T,10/07/2017,70000,USD,USA,mecum.com
1970 Dodge Charger R/T,05/20/2017,70000,USD,USA,mecum.com
1970 Dodge Charger R/T,05/20/2017,90000,USD,USA,mecum.com
1970 Dodge Charger R/T,05/19/2017,42500,USD,USA,mecum.com
1970 Dodge Charger R/T,01/20/2017,130900,USD,USA,mecum.com
1970 Dodge Charger R/T,01/14/2017,55000,USD,USA,mecum.com
1970 Dodge Charger R/T,01/14/2017,61000,USD,USA,mecum.com
1970 Dodge Charger R/T,01/08/2017,49000,USD,USA,mecum.com
1970 Dodge Charger R/T,06/18/2016,85000,USD,USA,mecum.com
1970 Dodge Charger R/T,04/15/2016,107500,USD,USA,mecum.com
1970 Dodge Charger R/T,04/15/2016,37000,USD,USA,mecum.com
1970 Dodge Charger R/T,01/21/2016,54000,USD,USA,mecum.com
1970 Dodge Charger R/T,10/23/2015,132000,USD,USA,worldwideauctioneers.com
1970 Dodge Charger R/T,10/09/2015,38000,USD,USA,mecum.com
1970 Dodge Charger R/T,04/24/2015,38000,USD,USA,mecum.com
1970 Dodge Charger R/T,01/24/2015,52000,USD,USA,mecum.com
1970 Dodge Charger R/T,01/21/2015,44000,USD,USA,mecum.com
1970 Dodge Charger R/T,01/17/2015,71500,USD,USA,barrettjackson.com
1970 Dodge Charger R/T,01/16/2015,66000,USD,USA,goodingco.com
1970 Dodge Charger R/T,01/14/2015,48400,USD,USA,barrettjackson.com
1970 Dodge Charger R/T,01/14/2015,51700,USD,USA,barrettjackson.com
1970 Dodge Charger R/T,01/13/2015,220000,USD,USA,barrettjackson.com
1970 Dodge Charger R/T,05/17/2014,125000,USD,USA,mecum.com
1970 Dodge Charger R/T,05/10/2014,42900,USD,USA,rmsothebys.com
1970 Dodge Charger R/T,04/12/2014,60500,USD,USA,barrettjackson.com
1970 Dodge Charger R/T,01/19/2014,58300,USD,USA,barrettjackson.com
1970 Dodge Charger R/T,01/15/2014,55000,USD,USA,barrettjackson.com
1970 Dodge Charger R/T,01/15/2014,52930,USD,USA,russoandsteele.com
1971 Chevrolet Monte Carlo,07/27/2022,26500,USD,USA,mecum.com
1971 Chevrolet Monte Carlo,07/22/2022,31000,USD,USA,gaaclassiccars.com
1971 Chevrolet Monte Carlo,03/10/2022,29000,USD,USA,gatewayclassiccars.com
1971 Chevrolet Monte Carlo,01/26/2022,50600,USD,USA,barrettjackson.com
1971 Chevrolet Monte Carlo,07/30/2021,30800,USD,USA,mecum.com
1971 Chevrolet Monte Carlo,10/23/2020,29700,USD,USA,barrettjackson.com
1971 Chevrolet Monte Carlo,03/12/2020,33000,USD,USA,mecum.com
1971 Chevrolet Monte Carlo,10/11/2019,24200,USD,USA,mecum.com
1971 Chevrolet Monte Carlo,06/28/2019,19800,USD,USA,barrettjackson.com
1971 Chevrolet Monte Carlo,05/19/2018,11000,USD,USA,mecum.com
1971 Chevrolet Monte Carlo,01/09/2018,37400,USD,USA,mecum.com
1971 Chevrolet Monte Carlo,08/04/2017,15000,USD,USA,mecum.com
1971 Chevrolet Monte Carlo,08/03/2017,12000,USD,USA,mecum.com
1971 Chevrolet Monte Carlo,09/17/2015,10000,USD,USA,mecum.com
1971 Chevrolet Monte Carlo,04/10/2015,18000,USD,USA,mecum.com
1971 Chevrolet Monte Carlo,09/03/2014,9500,USD,USA,mecum.com
1971 Chevrolet Monte Carlo,08/31/2014,8800,USD,USA,rmsothebys.com
1971 Jensen Interceptor,05/28/2022,51187,GBP,Great Britain,silverstoneauctions.com
1971 Jensen Interceptor,12/14/2021,51505,USD,USA,bringatrailer.com
1971 Jensen Interceptor,04/20/2021,33250,USD,USA,bringatrailer.com
1971 Jensen Interceptor,10/23/2020,53760,USD,USA,rmsothebys.com
1971 Jensen Interceptor,01/28/2020,29500,USD,USA,bringatrailer.com
1971 Jensen Interceptor,02/13/2017,20000,USD,USA,bringatrailer.com
1971 Jensen Interceptor,12/12/2016,10600,USD,USA,bringatrailer.com
1971 Nissan Skyline GT-R,01/16/2022,129000,USD,USA,bringatrailer.com
1971 Nissan Skyline GT-R,08/23/2021,95959,USD,USA,bringatrailer.com
1971 Nissan Skyline GT-R,02/04/2019,63500,USD,USA,bringatrailer.com
1971 Nissan Skyline GT-R,08/23/2018,75900,USD,USA,mecum.com
1971 Nissan Skyline GT-R,01/23/2017,126000,USD,USA,bringatrailer.com
1972 Ford Gran Torino Sport,07/08/2022,29000,USD,USA,gatewayclassiccars.com
1972 Ford Gran Torino Sport,04/25/2022,8900,USD,USA,allcollectorcars.com
1972 Ford Gran Torino Sport,04/08/2021,30800,USD,USA,mecum.com
1972 Ford Gran Torino Sport,08/03/2019,27500,USD,USA,mecum.com
1972 Ford Gran Torino Sport,09/25/2018,47500,USD,USA,bringatrailer.com
1972 Ford Gran Torino Sport,10/15/2016,84700,USD,USA,barrettjackson.com
1972 Ford Gran Torino Sport,08/19/2016,24500,USD,USA,mecum.com
1972 Ford Gran Torino Sport,01/27/2016,29700,USD,USA,russoandsteele.com
1972 Ford Gran Torino Sport,07/30/2015,37000,USD,USA,mecum.com
1972 Ford Gran Torino Sport,08/31/2014,19800,USD,USA,rmsothebys.com
1972 Ford Gran Torino Sport,06/19/2014,16500,USD,USA,russoandsteele.com
1973 Chevrolet Camaro RS Z28,01/07/2022,55000,USD,USA,mecum.com
1973 Chevrolet Camaro RS Z28,05/21/2021,47300,USD,USA,mecum.com
1973 Chevrolet Camaro RS Z28,10/30/2020,29700,USD,USA,mecum.com
1973 Chevrolet Camaro RS Z28,01/17/2020,50600,USD,USA,barrettjackson.com
1973 Chevrolet Camaro RS Z28,01/16/2020,44000,USD,USA,barrettjackson.com
1973 Chevrolet Camaro RS Z28,09/20/2019,36500,USD,USA,bringatrailer.com
1973 Chevrolet Camaro RS Z28,04/08/2016,41800,USD,USA,barrettjackson.com
1973 Chevrolet Camaro RS Z28,10/11/2014,22500,USD,USA,mecum.com
1993 Toyota Supra Turbo MK IV,05/30/2022,97000,USD,USA,bringatrailer.com
1993 Toyota Supra Turbo MK IV,03/25/2022,176000,USD,USA,rmsothebys.com
1993 Toyota Supra Turbo MK IV,09/18/2021,110000,USD,USA,barrettjackson.com
1993 Toyota Supra Turbo MK IV,03/28/2021,47250,GBP,Great Britain,silverstoneauctions.com
1993 Toyota Supra Turbo MK IV,03/02/2021,73000,USD,USA,bringatrailer.com
1993 Toyota Supra Turbo MK IV,10/24/2020,68200,USD,USA,barrettjackson.com
1993 Toyota Supra Turbo MK IV,03/06/2020,137200,USD,USA,rmsothebys.com
1993 Toyota Supra Turbo MK IV,02/10/2020,62493,USD,USA,bringatrailer.com
1993 Toyota Supra Turbo MK IV,12/11/2019,59000,USD,USA,bringatrailer.com
1993 Toyota Supra Turbo MK IV,12/04/2019,49000,USD,USA,bringatrailer.com
1993 Toyota Supra Turbo MK IV,08/16/2019,89600,USD,USA,bonhams.com
1993 Toyota Supra Turbo MK IV,06/21/2019,57500,USD,USA,bringatrailer.com
1993 Toyota Supra Turbo MK IV,06/14/2019,55500,USD,USA,bringatrailer.com
1993 Toyota Supra Turbo MK IV,04/04/2019,128000,USD,USA,bringatrailer.com
1993 Toyota Supra Turbo MK IV,12/07/2018,43750,USD,USA,bringatrailer.com
1993 Toyota Supra Turbo MK IV,06/28/2018,80700,USD,USA,bringatrailer.com
1993 Toyota Supra Turbo MK IV,03/21/2018,40999,USD,USA,bringatrailer.com
1994 Acura Integra,05/21/2022,20000,USD,USA,bringatrailer.com
1994 Acura Integra,03/13/2022,15250,USD,USA,carsandbids.com
1994 Acura Integra,08/05/2021,5200,USD,USA,carsandbids.com
1994 Acura Integra,01/14/2021,6500,USD,USA,bringatrailer.com
1994 Acura Integra,10/19/2018,7400,USD,USA,bringatrailer.com
1994 Acura Integra,02/09/2018,12500,USD,USA,bringatrailer.com
1994 Acura Integra,12/15/2017,8002,USD,USA,bringatrailer.com
1994 Toyota Supra MK IV,07/02/2022,122000,USD,USA,bringatrailer.com
1994 Toyota Supra MK IV,05/29/2022,40050,GBP,Great Britain,collectingcars.com
1994 Toyota Supra MK IV,05/19/2022,140000,USD,USA,mecum.com
1994 Toyota Supra MK IV,05/08/2022,98500,USD,USA,bringatrailer.com
1994 Toyota Supra MK IV,05/01/2022,72000,CAD,Canada,bringatrailer.com
1994 Toyota Supra MK IV,02/16/2022,32250,GBP,Great Britain,themarket.bonhams.com
1994 Toyota Supra MK IV,10/20/2021,44500,GBP,Great Britain,collectingcars.com
1994 Toyota Supra MK IV,01/18/2020,85800,USD,USA,barrettjackson.com
1994 Toyota Supra MK IV,12/15/2020,71000,USD,USA,bringatrailer.com
1994 Toyota Supra MK IV,11/27/2020,66500,USD,USA,bringatrailer.com
1994 Toyota Supra MK IV,11/19/2019,76000,USD,USA,bringatrailer.com
1994 Toyota Supra MK IV,06/01/2019,53000,USD,USA,rmsothebys.com
1994 Toyota Supra MK IV,04/13/2018,50600,USD,USA,barrettjackson.com
1994 Toyota Supra MK IV,09/04/2016,68200,USD,USA,rmsothebys.com
1994 Toyota Supra MK IV,01/26/2016,31350,USD,USA,barrettjackson.com
1994 Toyota Supra Fast and Furious Car,06/19/2021,550000,USD,USA,barrettjackson.com
1995  Volkswagen Jetta,01/26/2021,5350,USD,USA,carsandbids.com
1995 Mitsubishi Eclipse,06/28/2017,1600,USD,USA,bringatrailer.com
1995 Mitsubishi Eclipse,06/02/2022,34200,USD,USA,bringatrailer.com
1995 Mitsubishi Eclipse Fast and Furious,01/14/2022,155000,USD,USA,mecum.com
1995 Nissan Skyline GT-R R33,05/13/2022,58000,USD,USA,bringatrailer.com
1995 Nissan Skyline GT-R R33,04/21/2022,49995,USD,USA,carsandbids.com
1995 Nissan Skyline GT-R R33,03/29/2022,83500,USD,USA,bringatrailer.com
1995 Nissan Skyline GT-R R33,02/08/2022,105000,USD,USA,bringatrailer.com
1995 Nissan Skyline GT-R R33,02/04/2022,54500,CAD,Canada,formulaauctions.com
1995 Nissan Skyline GT-R R33,01/21/2022,53133,USD,USA,bringatrailer.com
1995 Nissan Skyline GT-R R33,01/14/2022,59033,USD,USA,bringatrailer.com
1995 Nissan Skyline GT-R R33,12/30/2021,51250,USD,USA,bringatrailer.com
1995 Nissan Skyline GT-R R33,12/15/2021,75000,USD,USA,bringatrailer.com
1995 Nissan Skyline GT-R R33,12/08/2021,68500,USD,USA,bringatrailer.com
1995 Nissan Skyline GT-R R33,11/13/2021,43875,GBP,Great Britain,silverstoneauctions.com
1995 Nissan Skyline GT-R R33,08/24/2021,61000,AUD,Australia,collectingcars.com
1995 Nissan Skyline GT-R R33,08/14/2021,235000,USD,USA,rmsothebys.com
1995 Nissan Skyline GT-R R33,06/18/2021,62000,AUD,Australia,collectingcars.com
1995 Nissan Skyline GT-R R33,05/20/2021,66000,USD,USA,mecum.com
1995 Nissan Skyline GT-R R33,05/18/2021,64500,USD,USA,bringatrailer.com
1995 Nissan Skyline GT-R R33,05/11/2021,37750,USD,USA,bringatrailer.com
1995 Nissan Skyline GT-R R33,05/04/2021,52500,USD,USA,bringatrailer.com
1995 Nissan Skyline GT-R R33,04/03/2021,62000,USD,Japan,classic.com
1995 Nissan Skyline GT-R R33,03/12/2021,59000,USD,USA,bringatrailer.com
1995 Nissan Skyline GT-R R33,01/09/2021,88000,USD,USA,mecum.com
1995 Volkswagen Jetta Fast and Furious,01/21/2016,46200,USD,USA,barrettjackson.com
1996 Nissan Skyline GT-R R33,05/10/2022,140000,GBP,Great Britain,collectingcars.com
1996 Nissan Skyline GT-R R33,01/26/2022,221500,AUD,Australia,collectingcars.com
1996 Nissan Skyline GT-R R33,10/21/2021,100000,GBP,Great Britain,collectingcars.com
1996 Nissan Skyline GT-R R33,07/13/2021,310000,USD,USA,bringatrailer.com
1996 Nissan Skyline GT-R R33,06/22/2021,315187,USD,USA,bringatrailer.com
1996 Nissan Skyline GT-R R33,11/11/2017,29000,GBP,Great Britain,silverstoneauctions.com
1996 Nissan Skyline GT-R R33,09/06/2017,25300,GBP,Great Britain,rmsothebys.com
1996 Nissan Skyline GT-R R33,06/29/2022,63500,AUD,Australia,collectingcars.com
1996 Nissan Skyline GT-R R33,05/01/2022,57500,USD,USA,bringatrailer.com
1996 Nissan Skyline GT-R R33,02/08/2022,46000,Euro,Ireland,collectingcars.com
1996 Nissan Skyline GT-R R33,05/22/2021,60750,GBP,Great Britain,silverstoneauctions.com
1996 Nissan Skyline GT-R R33,03/04/2017,18112,GBP,Great Britain,historics.co.uk
2000 Honda S2000,07/09/2022,23250,USD,USA,bringatrailer.com
2000 Honda S2000,07/07/2022,33750,USD,USA,bringatrailer.com
2000 Honda S2000,06/17/2022,28550,USD,USA,bringatrailer.com
2000 Honda S2000,06/17/2022,20550,USD,USA,carsandbids.com
2000 Honda S2000,06/04/2022,26000,USD,USA,bringatrailer.com
2000 Honda S2000,05/30/2022,36000,USD,USA,bringatrailer.com
2000 Honda S2000,01/09/2022,27050,USD,USA,bringatrailer.com
2000 Honda S2000,10/23/2021,31500,USD,USA,bringatrailer.com
2000 Honda S2000,07/08/2021,42500,USD,USA,bringatrailer.com
2000 Honda S2000,07/08/2021,27500,USD,USA,bringatrailer.com
2000 Honda S2000,04/30/2021,18250,USD,USA,carsandbids.com
2000 Honda S2000,11/25/2020,20500,USD,USA,bringatrailer.com
2000 Honda S2000,10/01/2020,23500,USD,USA,autohunter.com
2000 Honda S2000,08/26/2020,23250,USD,USA,bringatrailer.com
2000 Honda S2000,06/22/2020,31000,USD,USA,bringatrailer.com
2000 Honda S2000,01/16/2020,27500,USD,USA,barrettjackson.com
2000 Honda S2000,09/17/2019,10750,USD,USA,bringatrailer.com
2000 Honda S2000,08/02/2019,18250,USD,USA,bringatrailer.com
2000 Honda S2000,07/13/2019,20900,USD,USA,mecum.com
2000 Honda S2000,11/27/2018,27000,USD,USA,bringatrailer.com
2000 Honda S2000,11/06/2018,48000,USD,USA,bringatrailer.com
2000 Honda S2000,03/02/2018,29000,USD,USA,gaaclassiccars.com
2000 Honda S2000,08/14/2017,20555,USD,USA,bringatrailer.com
2000 Honda S2000,05/24/2017,9375,USD,USA,bringatrailer.com
2000 Honda S2000,01/31/2017,19000,USD,USA,bringatrailer.com
2000 Honda S2000,09/02/2015,22000,USD,USA,bringatrailer.com
2001 BMW 540i E39,06/25/2022,14000,USD,USA,bringatrailer.com
2001 BMW 540i E39,05/08/2022,21000,USD,USA,bringatrailer.com
2001 BMW 540i E39,04/12/2022,6800,USD,USA,carsandbids.com
2001 BMW 540i E39,12/01/2021,6500,USD,USA,carsandbids.com
2001 BMW 540i E39,10/26/2021,7200,USD,USA,carsandbids.com
2001 BMW 540i E39,11/05/2020,4300,USD,USA,carsandbids.com
2001 BMW 540i E39,10/28/2020,9200,USD,USA,carsandbids.com
2001 BMW 540i E39,03/14/2018,11355,USD,USA,bringatrailer.com
2001 BMW 540i E39,11/24/2017,7500,USD,USA,bringatrailer.com
2001 BMW 540i E39,12/19/2016,10000,USD,USA,bringatrailer.com
2001 BMW 540i E39,09/26/2016,9100,USD,USA,bringatrailer.com
2001 Honda S2000,08/05/2022,35250,USD,USA,bringatrailer.com
2001 Honda S2000,07/26/2022,33500,USD,USA,bringatrailer.com
2001 Honda S2000,07/21/2022,40000,USD,USA,bringatrailer.com
2001 Honda S2000,07/09/2022,24000,USD,USA,mecum.com
2001 Honda S2000,01/06/2022,26000,USD,USA,mecum.com
2001 Honda S2000,12/07/2021,21250,USD,USA,carsandbids.com
2001 Honda S2000,10/24/2021,27500,USD,USA,bringatrailer.com
2001 Honda S2000,08/01/2021,45250,USD,USA,bringatrailer.com
2001 Honda S2000,07/25/2021,37500,USD,USA,bringatrailer.com
2001 Honda S2000,07/05/2021,30200,USD,USA,bringatrailer.com
2001 Honda S2000,06/30/2021,18450,USD,USA,carsandbids.com
2001 Honda S2000,01/07/2021,27500,USD,USA,bringatrailer.com
2001 Honda S2000,12/03/2020,22000,USD,USA,carsandbids.com
2001 Honda S2000,11/18/2020,23750,USD,USA,bringatrailer.com
2001 Honda S2000,08/14/2019,21000,USD,USA,bringatrailer.com
2001 Honda S2000,07/26/2019,18250,USD,USA,bringatrailer.com
2001 Honda S2000,06/03/2019,20500,USD,USA,bringatrailer.com
2001 Honda S2000,10/27/2018,15950,USD,USA,mecum.com
2001 Honda S2000,10/22/2018,22472,USD,Canada,bringatrailer.com
2001 Honda S2000,10/15/2018,23250,USD,USA,bringatrailer.com
2001 Honda S2000,07/12/2017,18500,USD,USA,bringatrailer.com
2001 Honda S2000,09/04/2016,13700,USD,USA,rmsothebys.com
2001 Honda S2000,07/06/2016,29388,USD,USA,bringatrailer.com
2001 Honda S2000,10/01/2015,17500,USD,USA,bringatrailer.com
2001 Nissan Silvia S15 Spec-S,10/18/2021,42009,AUD,Australia,collectingcars.com
2002 Mitsubishi Lancer Evo VII,12/08/2021,19000,AUD,Australia,collectingcars.com
2002 Mitsubishi Lancer Evo VII,07/30/2021,22050,GBP,Great Britain,collectingcars.com
2002 Mitsubishi Lancer Evo VII,06/27/2020,14300,GBP,Great Britain,classiccarauctions.co.uk
2003 Mitsubishi Eclipse Spyder GTS,02/02/2020,2420,USD,USA,mecum.com
2003 Mitsubishi Eclipse Spyder GTS,06/06/2022,415,USD,USA,eBay.com
2009 Subaru Impreza WRX STi,04/28/2022,20500,USD,USA,carsandbids.com
2009 Subaru Impreza WRX STi,05/31/2021,13500,GBP,Great Britain,collectingcars.com
2009 Subaru Impreza WRX STi,11/16/2017,18500,USD,USA,mecum.com
2012 Gurkha LAPV Armored Vehicle,11/16/2018,198000,USD,USA,mecum.com
