,Year,Car Name,Manufacturer,Make,Model,Status,Car_Class,Film,Film Order,Role,Car Count,Car Sales Count,mean,min,max,Min Sale Date,Max Sale Date
66,2005,Aston Martin DB9,Aston Martin,Aston Martin,DB9,Discontinued,2+2 seat 2-door coupé2-door convertible,Furious 7,FF7,Minor,1,0.0,0.0,0.0,0.0,0,0
67,2005,Volkswagen Touran,Volkswagen,Volkswagen,Touran,In Production,Compact Car,The Fast and the Furious: Tokyo Drift,FF3,Minor,1,0.0,0.0,0.0,0.0,0,0
68,2006,Dodge Charger LX (PPV),Fiat Chrysler Automobiles,Dodge,Charger,Discontinued,Muscle,Fast Five,FF5,Minor,1,0.0,0.0,0.0,0.0,0,0
69,2006,Dodge Viper SRT-10,Chrysler,Dodge,Viper,Discontinued,Convertible,The Fast and the Furious: Tokyo Drift,FF3,Minor,1,0.0,0.0,0.0,0.0,0,0
70,2006,Mitsubishi Lancer Evolution IX,Mitsubishi,Mitsubishi,Lancer Evolution IX,Discontinued,Compact Car,The Fast and the Furious: Tokyo Drift,FF3,Major,1,0.0,0.0,0.0,0.0,0,0
71,2007,Porsche Cayman,Porsche,Porsche,Cayman S,In Production,Sports Car,Fast & Furious,FF4,Minor,1,0.0,0.0,0.0,0.0,0,0
72,2008,Ford Mustang GT Tjaarda 550R,Ford,Ford,Mustang GT Tjaarda 550R,In Production,Muscle,Fast & Furious,FF4,Minor,1,0.0,0.0,0.0,0.0,0,0
73,2009,Nissan 370Z,Nissan,Nissan,370Z,Discontinued,Sports car,Fast Five,FF5,Minor,1,0.0,0.0,0.0,0.0,0,0
74,2009,Nissan GT-R R35,Nissan Motor Company,Nissan,Nissan GT-R R35,In Production,2-door 2+2 coupé,Fast & Furious,FF4,Minor,1,0.0,0.0,0.0,0.0,0,0
75,2009,Subaru Impreza WRX STi GH,Fuji Heavy Industries,Subaru,Impreza WRX STi,Discontinued,Compact Car,Fast & Furious,FF4,Major,1,3.0,17500.0,13500.0,20500.0,2021-05-31 00:00:00,2022-04-28 00:00:00
76,2010,Dodge Charger SRT-8,Dodge,Dodge,Charger SRT-8,In Production,Muscle,Fast Five,FF5,Major,1,0.0,0.0,0.0,0.0,0,0
77,2010,Koenigsegg CCXR,Koenigsegg,Koenigsegg,CCXR,Discontinued,Super car,Fast Five,FF5,Minor,1,0.0,0.0,0.0,0.0,0,0
78,2010,Nissan GT-R R35,Nissan Motor Company,Nissan,GT-R R35,In Production,2-door 2+2 coupé,Fast Five,FF5,Minor,1,0.0,0.0,0.0,0.0,0,0
79,2011,Bugatti Veyron,Bugatti Automobiles S.A.S.,Bugatti,Veyron,Discontinued,Super car,Furious 7,FF7,Minor,1,0.0,0.0,0.0,0.0,0,0
80,2011,Dodge Challenger SRT,Fiat Chrysler Automobiles,Dodge,Challenger SRT,In Production,Letty Ortiz,Furious 7,FF7,Major,1,0.0,0.0,0.0,0.0,0,0
81,2011,Dodge Charger PPV,Dodge (Chrysler),Dodge,Charger LX,In Production,Muscle car,Fast Five,FF5,Major,1,0.0,0.0,0.0,0.0,0,0
82,2011,Lexus LFA,Lexus,Lexus,LFA,Discontinued,Sports car,Fast Five,FF5,Minor,1,0.0,0.0,0.0,0.0,0,0
83,2011,Nissan GT-R R35,Nissan Motor Company,Nissan,GT-R R35,In Production,2-door 2+2 coupé,Fast & Furious 6,FF6,Minor,1,0.0,0.0,0.0,0.0,0,0
84,2011,Porsche 996 GT3 RS,Porsche,Porsche,996 GT3 RS,Discontinued,Sports Car,Fast Five,FF5,Minor,1,0.0,0.0,0.0,0.0,0,0
85,2011,STC Delta Didgori-2,STC Delta,STC Delta,Didgori-2,In Production,SUV,F9,FF9,Major,1,0.0,0.0,0.0,0.0,0,0
86,2011,Subaru Impreza WRX STI,Fuji Heavy Industries,Subaru,Impreza WRX STI,Discontinued,Compact car,Fast Five,FF5,Minor,1,0.0,0.0,0.0,0.0,0,0
87,2012,Dodge Charger SRT-8,Dodge,Dodge,Charger SRT-8,In Production,Muscle,Fast & Furious 6,FF6,Major,1,0.0,0.0,0.0,0.0,0,0
88,2012,Nissan GT-R R35,Nissan Motor Company,Nissan,GT-R R35,In Production,2-door 2+2 coupé,Furious 7,FF7,Major,1,0.0,0.0,0.0,0.0,0,0
89,2012,Nissan GT-R R35 Bensopra,Nissan Motor Company,Nissan,GT-R R35,In Production,2-door 2+2 coupé,Fast & Furious 6,FF6,Minor,1,0.0,0.0,0.0,0.0,0,0
90,2012,Subaru Impreza WRX STi GH,Fuji Heavy Industries,Subaru,Impreza WRX ST,In Production,4-door sedan,Furious 7,FF7,Major,1,0.0,0.0,0.0,0.0,0,0
91,2013,Chrysler Town & Country,Chrysler,Chrysler,Town & Country,Discontinued,Minivan,Furious 7,FF7,Minor,1,0.0,0.0,0.0,0.0,0,0
92,2013,Eagle Speedster,Eagle (recreation)Jaguar (base),Eagle,Speedster,By order only,0,Fast & Furious 6,FF6,Minor,1,0.0,0.0,0.0,0.0,0,0
93,2014,Chevrolet Suburban LT,Chevrolet/GMC (General Motors),Chevrolet,Suburban,In Production,4-door SUV,Furious 7,FF7,Minor,1,0.0,0.0,0.0,0.0,0,0
94,2014,Dodge Charger SRT-8,"Dodge (Fiat Chrysler Automobiles, previously Chrysler)",Dodge,Charger SRT-8,In Production,Full-size,Furious 7,FF7,Minor,1,0.0,0.0,0.0,0.0,0,0
95,2014,Lykan HyperSport,W Motors,Lykan,Hypersport,Discontinued,Hypercar,Furious 7,FF7,Major,1,0.0,0.0,0.0,0.0,0,0
96,2014,Maserati Ghibli,Maserati,Maserati,Ghibli,In Production,Sport,Furious 7,FF7,Major,1,0.0,0.0,0.0,0.0,0,0
97,2015,Ford Mustang GT350,Ford Motor Cars,Ford,Mustang,In Production,Muscle,F9,FF9,Major,1,0.0,0.0,0.0,0.0,0,0
98,2015,Subaru WRX STi,Fuji Heavy Industries,Subaru,WRX STI,In Production,4-door sedan,The Fate of the Furious,FF8,Minor,1,0.0,0.0,0.0,0.0,0,0
99,2019,Jaguar XE,Jaguar Land Rover,Jaguar,XE SV,In Production,Sports,F9,FF9,Major,1,0.0,0.0,0.0,0.0,0,0
100,2020,Jeep Gladiator,Fiat Chrysler Automobiles,Jeep,Gladiator,In Production,SUV,F9,FF9,Major,1,0.0,0.0,0.0,0.0,0,0
101,2012,Gurkha LAPV Armored Vehicle,Gurkha,Gurkha,LAPV Armored Vehicle,In Production,Military Vehicle,Fast Five,FF5,Major,1,1.0,198000.0,198000.0,198000.0,2018-11-16 00:00:00,2018-11-16 00:00:00
